observation_date,CPIAUCSL_PC1
2018-01-01,2.15132
2018-02-01,2.26347
2018-03-01,2.33095
2018-04-01,2.47100
2018-05-01,2.78192
2018-06-01,2.80755
2018-07-01,2.85412
2018-08-01,2.64292
2018-09-01,2.33206
2018-10-01,2.49203
2018-11-01,2.14733
2018-12-01,2.00238
2019-01-01,1.48759
2019-02-01,1.51886
2019-03-01,1.88319
2019-04-01,2.00058
2019-05-01,1.79591
2019-06-01,1.67119
2019-07-01,1.82633
2019-08-01,1.73764
2019-09-01,1.68450
2019-10-01,1.73397
2019-11-01,2.09229
2019-12-01,2.31953
2020-01-01,2.59977
2020-02-01,2.34132
2020-03-01,1.49404
2020-04-01,0.31305
2020-05-01,0.19820
2020-06-01,0.71666
2020-07-01,0.99686
2020-08-01,1.28107
2020-09-01,1.39102
2020-10-01,1.23039
2020-11-01,1.17575
2020-12-01,1.32042
2021-01-01,1.37384
2021-02-01,1.66982
2021-03-01,2.66782
2021-04-01,4.13308
2021-05-01,4.91826
2021-06-01,5.29563
2021-07-01,5.24517
2021-08-01,5.15202
2021-09-01,5.35122
2021-10-01,6.23504
2021-11-01,6.90197
2021-12-01,7.17434
2022-01-01,7.55881
2022-02-01,7.93728
2022-03-01,8.57220
2022-04-01,8.23175
2022-05-01,8.53817
2022-06-01,8.97936
2022-07-01,8.46258
2022-08-01,8.22258
2022-09-01,8.19211
2022-10-01,7.75881
2022-11-01,7.12286
2022-12-01,6.40460
2023-01-01,6.32718
2023-02-01,5.95782
2023-03-01,4.91772
2023-04-01,4.95008
2023-05-01,4.13185
2023-06-01,3.07062
2023-07-01,3.28775
2023-08-01,3.72250
2023-09-01,3.68721
2023-10-01,3.25127
2023-11-01,3.13335
2023-12-01,3.31591
2024-01-01,3.08834
2024-02-01,3.15707
2024-03-01,3.48683
2024-04-01,3.36080
2024-05-01,3.24428
2024-06-01,2.97026
2024-07-01,2.94148
2024-08-01,2.60714
2024-09-01,2.42648
2024-10-01,2.57884
2024-11-01,2.71947
2024-12-01,2.87069
