origin_state,origin_state_name,dest_state,dest_state_name,feature_year,prediction_year,selected_model,predicted_tons
48,Texas,48,Texas,2024,2025,linear_regression,1539488.8646026647
6,California,6,California,2024,2025,linear_regression,778367.2516326116
12,Florida,12,Florida,2024,2025,linear_regression,592018.3086049953
17,Illinois,17,Illinois,2024,2025,linear_regression,488571.1797333957
39,Ohio,39,Ohio,2024,2025,linear_regression,357607.9730872774
36,New York,36,New York,2024,2025,linear_regression,337488.0735393829
19,Iowa,19,Iowa,2024,2025,linear_regression,306957.9470890785
27,Minnesota,27,Minnesota,2024,2025,linear_regression,306616.7991246073
42,Pennsylvania,42,Pennsylvania,2024,2025,linear_regression,305413.033410644
55,Wisconsin,55,Wisconsin,2024,2025,linear_regression,301072.59248235833
13,Georgia,13,Georgia,2024,2025,linear_regression,292424.5961060468
18,Indiana,18,Indiana,2024,2025,linear_regression,263647.5069999967
26,Michigan,26,Michigan,2024,2025,linear_regression,263453.87504797126
53,Washington,53,Washington,2024,2025,linear_regression,254897.37100685915
37,North Carolina,37,North Carolina,2024,2025,linear_regression,243522.48094537528
22,Louisiana,22,Louisiana,2024,2025,linear_regression,226775.5270594958
51,Virginia,51,Virginia,2024,2025,linear_regression,224383.17529506187
47,Tennessee,47,Tennessee,2024,2025,linear_regression,214374.95770338463
31,Nebraska,31,Nebraska,2024,2025,linear_regression,207151.1246841626
29,Missouri,29,Missouri,2024,2025,linear_regression,190200.86283877032
20,Kansas,20,Kansas,2024,2025,linear_regression,182463.38377719963
34,New Jersey,34,New Jersey,2024,2025,linear_regression,172539.06512833093
1,Alabama,1,Alabama,2024,2025,linear_regression,171200.70792864737
45,South Carolina,45,South Carolina,2024,2025,linear_regression,154868.63720730026
41,Oregon,41,Oregon,2024,2025,linear_regression,149981.0606963377
5,Arkansas,5,Arkansas,2024,2025,linear_regression,144276.09941313294
8,Colorado,8,Colorado,2024,2025,linear_regression,138864.56414260142
21,Kentucky,21,Kentucky,2024,2025,linear_regression,134344.38266052585
40,Oklahoma,40,Oklahoma,2024,2025,linear_regression,123242.67856522727
24,Maryland,24,Maryland,2024,2025,linear_regression,120484.91864159619
4,Arizona,4,Arizona,2024,2025,linear_regression,120348.03907872971
25,Massachusetts,25,Massachusetts,2024,2025,linear_regression,111599.05157841972
38,North Dakota,38,North Dakota,2024,2025,linear_regression,85714.65883282607
46,South Dakota,46,South Dakota,2024,2025,linear_regression,85656.07706756267
28,Mississippi,28,Mississippi,2024,2025,linear_regression,84947.4665638015
16,Idaho,16,Idaho,2024,2025,linear_regression,82484.60898126174
49,Utah,49,Utah,2024,2025,linear_regression,81704.1281890264
9,Connecticut,9,Connecticut,2024,2025,linear_regression,77911.22630865745
54,West Virginia,54,West Virginia,2024,2025,linear_regression,63799.54483703404
32,Nevada,32,Nevada,2024,2025,linear_regression,57486.78172564722
23,Maine,23,Maine,2024,2025,linear_regression,49768.62360335035
35,New Mexico,35,New Mexico,2024,2025,linear_regression,39604.65939509208
33,New Hampshire,33,New Hampshire,2024,2025,linear_regression,35676.165339348736
30,Montana,30,Montana,2024,2025,linear_regression,35330.52567183843
42,Pennsylvania,34,New Jersey,2024,2025,linear_regression,30430.912681414855
19,Iowa,27,Minnesota,2024,2025,linear_regression,29331.737765840015
34,New Jersey,36,New York,2024,2025,linear_regression,27970.223167459524
17,Illinois,18,Indiana,2024,2025,linear_regression,27945.09641375496
34,New Jersey,42,Pennsylvania,2024,2025,linear_regression,26076.157621737126
15,Hawaii,15,Hawaii,2024,2025,linear_regression,26062.372252894264
36,New York,42,Pennsylvania,2024,2025,linear_regression,24851.963689399978
18,Indiana,17,Illinois,2024,2025,linear_regression,24170.69655121966
42,Pennsylvania,36,New York,2024,2025,linear_regression,22915.26990348402
13,Georgia,12,Florida,2024,2025,linear_regression,20630.67616321544
55,Wisconsin,27,Minnesota,2024,2025,linear_regression,20494.247195986438
42,Pennsylvania,24,Maryland,2024,2025,linear_regression,20286.023985985572
39,Ohio,18,Indiana,2024,2025,linear_regression,20246.164827642435
41,Oregon,53,Washington,2024,2025,linear_regression,20238.538533285053
18,Indiana,39,Ohio,2024,2025,linear_regression,19701.99124059242
10,Delaware,10,Delaware,2024,2025,linear_regression,19585.178772954197
27,Minnesota,55,Wisconsin,2024,2025,linear_regression,19364.98505157752
48,Texas,37,North Carolina,2024,2025,linear_regression,19005.52952960604
40,Oklahoma,48,Texas,2024,2025,linear_regression,18836.074044731344
48,Texas,40,Oklahoma,2024,2025,linear_regression,18693.583204612398
44,Rhode Island,44,Rhode Island,2024,2025,linear_regression,18611.194126625334
26,Michigan,18,Indiana,2024,2025,linear_regression,18472.52840367874
42,Pennsylvania,39,Ohio,2024,2025,linear_regression,17987.623279505086
56,Wyoming,56,Wyoming,2024,2025,linear_regression,17872.10141167347
36,New York,34,New Jersey,2024,2025,linear_regression,17609.66077937931
55,Wisconsin,17,Illinois,2024,2025,linear_regression,17095.111148547032
17,Illinois,55,Wisconsin,2024,2025,linear_regression,16946.642987420368
37,North Carolina,45,South Carolina,2024,2025,linear_regression,16470.398399117763
26,Michigan,39,Ohio,2024,2025,linear_regression,16080.768626694546
37,North Carolina,51,Virginia,2024,2025,linear_regression,15922.605505896296
2,Alaska,2,Alaska,2024,2025,linear_regression,15892.78096579741
22,Louisiana,48,Texas,2024,2025,linear_regression,15869.247277589046
17,Illinois,29,Missouri,2024,2025,linear_regression,15486.283279391555
18,Indiana,26,Michigan,2024,2025,linear_regression,15379.862775710193
24,Maryland,51,Virginia,2024,2025,linear_regression,15313.560032909732
48,Texas,22,Louisiana,2024,2025,linear_regression,14938.845624083038
